"","Package","LibPath","Version","Priority","Built"
"166","lazyeval","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2.2",NA,"3.6.2"
"167","lfe","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.6-2291",NA,"3.4.4"
"168","lifecycle","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.0",NA,"3.6.2"
"169","lme4","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1-19",NA,"3.5.2"
"170","lmodel2","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.7-3",NA,"3.4.3"
"171","lmtest","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-36",NA,"3.4.4"
"172","loo","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.0.0",NA,"3.4.4"
"173","lpSolve","C:/Users/aubryp/Documents/R/R-3.6.1/library","5.6.13",NA,"3.5.0"
"174","lsmeans","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.27-62",NA,"3.4.4"
"175","lubridate","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.7.4",NA,"3.5.3"
"176","magrittr","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5",NA,"3.4.4"
"177","mapdata","C:/Users/aubryp/Documents/R/R-3.6.1/library","2.3.0",NA,"3.5.3"
"178","maps","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.3.0",NA,"3.5.3"
"179","maptools","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-5",NA,"3.5.3"
"180","markdown","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1",NA,"3.6.2"
"181","MASS","C:/Users/aubryp/Documents/R/R-3.6.1/library","7.3-51.4","recommended","3.6.1"
"182","matpow","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.1",NA,"3.5.3"
"183","Matrix","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2-17","recommended","3.6.1"
"184","matrixcalc","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-3",NA,"3.4.1"
"185","MatrixModels","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.4-1",NA,"3.4.4"
"186","matrixStats","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.53.1",NA,"3.4.4"
"187","maxLik","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.3-4",NA,"3.4.4"
"188","mc2d","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-18",NA,"3.5.0"
"189","mclust","C:/Users/aubryp/Documents/R/R-3.6.1/library","5.4",NA,"3.4.4"
"190","memoise","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.1.0",NA,"3.4.4"
"191","MEMSS","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9-2",NA,"3.4.4"
"192","methods","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.6.1","base","3.6.1"
"193","mgcv","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.8-28","recommended","3.6.1"
"194","mime","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.8",NA,"3.6.2"
"195","miniUI","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.1.1",NA,"3.4.4"
"196","minqa","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.4",NA,"3.5.2"
"197","miscTools","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.6-22",NA,"3.4.4"
"198","mlmRev","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-6",NA,"3.4.4"
"199","mnormt","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.5-5",NA,"3.5.2"
"200","modelr","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1.5",NA,"3.6.2"
"201","modeltools","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.2-21",NA,"3.4.1"
"202","muhaz","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.2.6",NA,"3.4.4"
"203","multcomp","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.4-8",NA,"3.4.4"
"204","multicool","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.1-10",NA,"3.4.4"
"205","munsell","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.5.0",NA,"3.6.2"
"206","mvtnorm","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.0-8",NA,"3.5.0"
"207","network","C:/Users/aubryp/Documents/R/R-3.6.1/library","1.13.0.1",NA,"3.5.1"
"208","networkDynamic","C:/Users/aubryp/Documents/R/R-3.6.1/library","0.9.0",NA,"3.5.1"
"209","nleqslv","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.3.2",NA,"3.4.4"
"210","nlme","C:/Users/aubryp/Documents/R/R-3.6.1/library","3.1-140","recommended","3.6.1"
